chapter,start_page
Contents,3
Tables,30
Summary of Changes,49
Summary of Changes since the 13 April 2024 Visa Core Rules and Visa Product and Service Rules,49
Introduction,83
The Visa Rules,83
1 Visa Core Rules,86
2 Licensing and Numerics Management,214
3 Use of Marks,233
4 Issuance,241
5 Acceptance,570
6 ATM,741
7 Transaction Processing,764
8 Processing Products,837
9 Interchange,860
10 Risk,861
11 Dispute Resolution,954
12 Fees and Non-Compliance Assessments,1087
Appendix A,1118
Glossary,1128
